lat,lng,name,website
-43.6015601,172.6474733,Sugarloaf Car Park,
-43.7220666,172.5963832,Iris Garden,
-43.6326620,172.6225185,Lookout Rock,
-44.7190935,168.2776931,Old Routeburn Shelter,
-44.7269336,168.1705010,Harris Saddle,
-44.8032844,168.1582434,Earland Falls,
-36.3935257,174.7282317,family park Sandspit,www.sandspitholidaypark.co.nz
-36.7606970,175.4974025,bp,
-36.8281060,175.7897557,Cathedral Cove,
-43.5329646,172.6388814,Hotel So,
-43.6957654,172.4136630,Coes Ford,
-36.7857501,174.8930752,Yankee Wharf,
-38.6870024,176.0692200,Taupo i-Site Visitor Information Centre,
-43.5333989,172.5924610,Riccarton Baptist,
-43.5348861,172.5899977,Harrington Park Dairy,
-36.8517246,174.7653992,Auckland Central Library,
-36.8512381,174.7662434,Auckland Art Gallery,
-36.8398765,174.7657354,Auckland Hilton,
-37.9900460,177.1624196,Ohiwa Family Holiday Park,
-38.7542407,177.1548049,Waikaremoana Motor Camp,
-38.7434312,177.1602701,Aniwaniwa Falls,
-38.7450317,177.1624406,Aniwaniwa Visitor Center,
-43.5879129,172.8034185,Godley Head Carpark,
-36.8661991,174.7783286,Event Cinemas,http://www.eventcinemas.co.nz/Cinema/Broadway
-36.8659353,174.7783937,The Olympic,http://www.theolympic.co.nz/
-36.7981890,174.7834468,BP,
-36.8151213,174.8060139,Fort Takapuna,
-36.8474612,174.7598806,The Empire,
-36.8750629,174.7515416,Westpac Dominion Road,
-38.1798866,175.2126680,Camp Kiwi Holiday Park,
-36.8520360,174.7603682,Central Auckland Police Station,
-36.9226323,174.7834399,Countdown Onehunga,
-38.9866792,177.7920173,Morere Hot Springs,
-36.8308190,174.7973418,Westpac,
-36.8305489,174.7975149,Manuka,
-36.8805974,174.7250270,Z,
-36.8740587,174.7418130,Mobil,
-46.4440182,169.8028351,Roaring Bay,
-36.7517865,174.7280984,Constellation,
-36.7615159,174.7380770,Sunnynook,
-36.8706483,174.7485282,Gull,
-36.8760793,174.7508298,ANZ,
-41.2941527,174.7805310,Wellywood Backpackers,
-41.2945163,174.7833025,X-Base Backpackers,
-41.2922370,174.7801048,Reading Cinema,
-36.8838340,174.7350720,Mount Albert Community Library,
-45.7758804,170.7291783,Taiaroa Head,
-45.8616445,170.6271828,Larnach's Castle,
-45.8740070,170.5862926,Glenfalloch Gardens,
-41.2909669,174.7803162,BP,
-41.2860913,174.7745530,Plimmer Towers Carpark,
-41.2855431,174.7743040,Gilmer Terrace Carpark,
-41.2908410,174.7741339,Abel Tasman Hotel,
-41.2906927,174.7736704,Just Hotel,
-41.2904741,174.7742333,The Willis Street Carpark,
-41.2892997,174.7743762,Hotel St. George,
-41.2844464,174.7744890,James Cook,
-41.2896835,174.7767278,West Plaza Hotel,
-41.2901406,174.7765194,The Lombard Carpark,
-41.2888802,174.7765606,Wellington i-Site,
-36.8971391,174.7694581,Mercy Spiritiuality Centre,http://www.mercycentreauckland.org.nz/
-41.2944994,174.7759886,Marion Street Car Park,
-41.2952482,174.7749056,Comfort Hotel,
-41.2955115,174.7746954,Quality Hotel,
-36.9665396,174.7973338,Mangere Fire Station,
-36.9674783,174.7977978,Mangere Police Station,
-36.9192020,174.7220021,Lynfield Recreation Centre,
-36.7841109,175.0109026,BP,
-41.2975165,174.7799081,The Warehouse,
-36.7881926,175.0813764,4th Avenue Bar and Eatery,
-36.7882111,175.0829263,Charlie Farleys,
-36.7922488,175.0796613,Z,
-41.5091561,173.9594077,Information Centre,
-41.5090473,173.9599519,Blenheim,
-36.7970197,175.0911013,Kauri Grove,
-41.2927350,174.7730322,Quest on Willis,
-42.4167564,173.7070326,Fyffe House,
-42.4027212,173.6832066,Kaikoura iSite,
-36.8246358,174.6080738,Massey Leisure Centre and Library,
-43.5815852,172.6354362,The Sign of the Takahe,
-41.2925734,174.7747636,Leftbank Carpark,
-43.3861226,170.1834367,Punga Grove Motel,
-43.4251161,170.1688755,Glacier Viewpoint,
-43.8612216,169.0457377,Department of Conservation Haast Pass Visitor Centre,
-44.3970805,171.2514156,South Canterbury Regional Museum,
-45.1011589,170.9482782,Holmes Hill Motel,
-45.1028126,170.9700281,Criterion Hotel,
-46.3850243,169.7807072,Nugget View and Kaka Point Motels,
-46.3860867,169.7825791,The Point,
-46.5174347,169.5610674,Purakaunui Falls,
-46.5918337,169.3569275,Whistling Frog Cafe,
-46.5029615,169.4882271,Matai Falls,
-46.5030875,169.4887635,Horseshoe falls,
-41.2930957,174.7780166,Hope Gibbons Carpark,
-46.6080396,169.3825051,Cathedral Caves,
-46.5744103,169.4593358,Florence Hill Lookout,
-46.6617964,169.0981496,Penguin Viewpoint,
-46.6149494,168.3387750,Bluff Hill Lookout,
-46.6743130,169.0016008,Slope Point,
-46.6600225,168.8470038,Waipapa Point Lighthouse,
-41.1136597,174.4331899,Brothers Island Lighthouse,
-41.5278065,174.0012040,Riverlands Cob Cottage,
-46.4129029,168.3484121,Zookeepers Cafe,
-41.2848040,174.7752725,City Life Hotel,
-41.2856102,174.7748348,Quest on Gilmer,
-46.3530693,167.9503138,Scenic Lookout,
-46.2279804,167.6690295,Lookout,
-44.7210983,167.9478076,The Chasm,
-41.2936502,174.7785545,Wesley Methodist Church,
-41.2930794,174.7853283,The Bay plaza Hotel,
-45.0284211,168.0111809,Mirror Lakes,
-41.2915663,174.7735983,Alexander Pharmacy,
-44.8051709,168.1018548,Marian Cascade,
-44.6961983,168.1286271,Humboldt Falls Lookout,
-36.8613634,174.7578395,The King's Arms,
-45.2457117,168.7428677,Devil's Staircase Lookout,
-45.0152091,168.7315866,BP,
-39.4791718,176.8827766,Bamboo Lodge,
-41.4490742,175.2277048,Putangirua Pinnacles,
-41.2951348,174.7828769,Cambridge Hotel,
-41.2909046,174.7725742,Rosemere Backpackers,
-36.9242188,174.7020012,Blockhouse Bay Library,
-41.2952356,174.7837324,Halswell Lodge,
-41.2947106,174.7865578,Apollo Lodge Motel,
-41.2993871,174.7837728,Richmond Guest House,
-41.3006973,174.7838268,Maple Lodge Backpackers,
-35.6077332,173.5351216,four sisters,
-35.6006381,173.5280305,Tane Mahuta,
-35.3801805,174.0644082,Kawakawa,
-41.2970489,174.7719778,Moriah Kindergarten,http://www.moriahkindergarten.org.nz/
-41.3062341,174.7781359,Beaurepaires,
-41.2887978,174.7779919,The Playground,
-41.2819171,174.7780321,Featherston Street Pharmacy,
-41.2808913,174.7775565,Wilson,
-41.2766696,174.7771013,Cathedral Carpark,
